OTU ID	ERG1A	ERG1B	ERG2A	ERG2B	ERG2C	ERG3A	ERG3B	ERG3C	ERG4A	ERG4B	ERG4C
926526fa0f2b5a6c3e37eba5dba15134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	176.0	99.0
dd0f8860fc88ce21ba0c3496bd58401e	0.0	0.0	0.0	0.0	0.0	192.0	185.0	285.0	0.0	234.0	0.0
4a5b636019616449426be94f1f7ce6be	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	206.0	0.0	56.0
6b572ec65ef942762751af5736bd0b20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0
a3a462d89ae4c66204634f016f69fedb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	199.0	89.0
ff6aab8a4010bb7a1f33bd317e9802e3	148.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36643bf515665f3d5597f33507ee34c6	0.0	0.0	500.0	356.0	360.0	0.0	0.0	0.0	0.0	0.0	0.0
0c55839185b1935cadf5727c07f6f5f0	49.0	0.0	0.0	0.0	0.0	217.0	247.0	301.0	0.0	0.0	0.0
c6db6daac39ac3661fa04176bc1fccde	0.0	0.0	0.0	208.0	202.0	0.0	0.0	0.0	0.0	0.0	89.0
d90ebce2616467431b6f67f42ea9eee5	208.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
893583e95e03c73fb61af9446008d957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	228.0	0.0
1276b77f062b2b17f0a0014194e25b35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.0
5a79335b0dcd68efe7cf7306e7302791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0
de0eb8a291b4197acfa5d2d35a454d2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	70.0
880bcaaee3d4af6be80496a729937d03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0
35d3be8f04edd7f29599669b7ee8669d	131.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0cfcfeb3d2e0fc784818991ce77b40cb	0.0	0.0	0.0	63.0	0.0	211.0	0.0	0.0	30.0	0.0	41.0
690d0331f99a36b430ded1266ce28a4e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.0
abbe8bd1a4d1d29233e2de4d1a206dac	92.0	172.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8d4d7165852cac91ab4889b6ca27f483	0.0	0.0	951.0	123.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0
ca0dcf32ac54f809fcdcc59fe519db31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	40.0
57be7d1a0e318b23b7028511766fadeb	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	91.0	0.0	38.0
c4eb9ea88871119d317ffeef0cd80e22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0
8ca2d5559d46a005b989a47c0ae40bfc	0.0	0.0	233.0	161.0	260.0	0.0	42.0	0.0	0.0	0.0	0.0
6bab31e4f534f915f53cf3ff298891e1	106.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9173113b387a38dc3b06217d0eb4a824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	46.0
86eec4e2bcf8540f3b572931b4d6309a	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7d993d5d92d78f7c48a84ddd5b02e8c4	78.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f27195e9f7acd9f16a95f1b1991611db	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0
cb80a4a66bf0e6eda035e5fd4109df65	0.0	0.0	0.0	0.0	0.0	0.0	219.0	261.0	0.0	0.0	0.0
0a586547875c67da249fa8a10774c423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0
7c8c40e1955bd263b660c1a90c23e64c	91.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dd0564b35f24930f5e2fe2d6513e4228	82.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eca80e8e0656864518f58937f893713c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	246.0	0.0
06f6d911d494cc2b64cb15f1e6c1e5a2	0.0	0.0	0.0	0.0	0.0	152.0	131.0	141.0	0.0	0.0	0.0
48a81b80e2c3ff8b827ebf7c657a4468	0.0	0.0	0.0	55.0	0.0	9.0	0.0	0.0	0.0	44.0	50.0
fad39a82e7d9f510a46a70d725aa0acb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0
d7939922fb12450356c0cc93bb38b424	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8bc85429808bba02f4a9f4e8309929fa	42.0	0.0	443.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e96f9d22c06d1ef1983793e0b27fe825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	355.0	0.0	0.0	0.0
